idx,root_id,primary_type,additional_type,super_class,role
1860,720575940653703841,PVLP112b,PVLP112,central,interneuron
1861,720575940653742753,LPLC2,,visual_projection,input_vision
1862,720575940654117025,CB1425,B1-3,central,interneuron
1863,720575940654401441,CB1314,,central,interneuron
1864,720575940655750305,LPLC2,,visual_projection,input_vision
1865,720575940658702977,CB2472,,central,interneuron
1866,720575940659193985,LPC1,,visual_projection,interneuron
1867,720575940660051073,CL140,,central,interneuron
1868,720575940660314241,CB1948,WED_pr02,central,interneuron
1869,720575940661089921,PLP209,,central,interneuron
1870,720575940661316993,LPLC2,,visual_projection,input_vision
